,Easting,Northing,Elevation,Name,Description
0,695732.16,5800216.89,499.872009,2000 50,None
1,695756.58,5800260.18,502.310394,2000 100,None
2,695782.15,5800303.85,507.187195,20000 150,None
3,695806.72,5800346.81,511.149597,2000 200,None
4,695830.43,5800390.74,513.283203,2000 250,None
5,695857.52,5800433.81,513.892822,2000 300,None
6,695881.93,5800477.21,511.454407,2000 350,None
7,695906.77,5800520.29,509.015991,2000 400,None
8,695931.72,5800563.72,502.005615,2000 450,None
9,695956.71,5800606.47,494.080811,2000 500,None
10,695981.57,5800650.56,491.337585,2000 550,None
11,696005.7,5800692.39,491.032806,2000 600,None
12,696031.67,5800737.86,487.984802,2000 650,None
13,696352.11,5801291.87,484.0224,2000 1300,24-MAY-21 11:20:09
14,696327.86,5801249.7,487.375214,2000 1250,24-MAY-21 11:21:40
15,696303.61,5801207.53,490.727997,2000 1200,24-MAY-21 11:23:04
16,696277.41,5801163.05,493.166412,2000 1150,24-MAY-21 11:24:16
17,696253.88,5801119.79,490.118408,2000 1100,24-MAY-21 11:25:48
18,696228.99,5801076.48,485.851196,2000 1050,24-MAY-21 11:27:07
19,696202.74,5801033.12,481.888794,2000 1000,24-MAY-21 11:28:54
20,696153.64,5800946.52,481.888794,2000 900,24-MAY-21 11:33:21
21,696128.03,5800904.29,489.813599,2000 850,24-MAY-21 11:34:48
22,696102.46,5800860.96,491.642395,2000 800,24-MAY-21 11:36:34
23,696078.25,5800817.67,485.546387,2000 750,24-MAY-21 11:39:23
24,696053.35,5800774.36,485.241608,2000 700,24-MAY-21 11:40:48
