,Easting,Northing,Type,Name,Description
0,520874.14,3697689.83,Polygon,Data_Loop_BHEM_600x600,
1,520403.53,3697279.1,Polygon,Data_Loop_BHEM_600x600,
2,520832.12,3696841.05,Polygon,Data_Loop_BHEM_600x600,
3,521296.02,3697257.74,Polygon,Data_Loop_BHEM_600x600,
4,520875.77,3697679.97,Polygon,Data_Loop_BHEM_600x600,
5,520874.14,3697689.83,Polygon,Data_Loop_BHEM_600x600,
6,520874.14,3697689.83,Polygon,Data_Loop_BHEM_600x600,
7,520924.0,3697526.0,Point,OCLT-1801D,
8,520874.0,3697689.0,Point,001,
9,520403.0,3697279.0,Point,002,
10,520832.0,3696841.0,Point,003,
11,521295.0,3697257.0,Point,004,
